298354,1881253,0
298151,1881253,1
298372,1881253,1
298373,1881253,1
298373,1881277,1
298377,1881277,1
298377,1881253,1
298381,1881277,1
298381,1881253,1
298387,1881253,1
298387,1881277,1
298138,1881277,1
298138,1881253,1
298388,1881253,1
298389,1881253,1
298389,1881277,1
298388,1881277,1
298388,1881319,1
298389,1881319,1
298385,1881253,1
298385,1881277,1
298385,1881319,1
298385,1881320,1
298389,1881338,1
298488,1881253,1
298488,1881319,1
298159,1881338,1
298159,1881253,1
298159,1881277,1
298159,1881320,1
298159,1881319,1
298532,1881320,1
298532,1881338,1
298532,1881319,1
298532,1881277,1
298532,1881253,1
298510,1881253,1
298559,1881338,1
298559,1881319,1
298559,1881320,1
298559,1881277,1
298559,1881253,1
298143,1881253,0
298143,1881277,1
298143,1881319,1
298143,1881338,1
298143,1881320,1
298389,1881984,1
298558,1881338,1
298558,1881988,1
298558,1881984,1
298564,1881988,0
298558,1881320,1
298564,1881338,1
298558,1881999,1
298564,1881319,1
298558,1881319,1
298558,1881277,1
298564,1881320,1
298564,1881277,1
298564,1881253,1
298564,1881984,1
298151,1881984,1
298151,1881319,1
298151,1881999,1
298151,1881338,1
298151,1881320,1
298143,1881999,0
298151,1882008,1
298151,1881988,1
298578,1881253,0
298578,1881319,1
298578,1881338,1
298578,1881984,1
298578,1882015,1
298578,1882008,1
298578,1881277,1
298578,1881320,0
298583,1881984,1
298583,1881320,1
298587,1881984,1
298587,1881277,1
274496,1882060,1
274496,1881320,1
274496,1881277,0
274496,1881319,1
298124,1882060,1
298124,1882015,1
298124,1881984,1
298124,1881338,1
298124,1881320,1
298124,1881319,1
298124,1881277,1
298124,1881253,1
298124,1881999,1
298389,1882060,1
298389,1881988,1
298389,1882015,1
298389,1882008,1
298647,1882060,1
298647,1881253,1
298389,1881999,1
298647,1881999,1
298647,1881988,1
298647,1882015,1
298647,1882008,1
298647,1881338,1
298647,1881320,1
298647,1881319,1
298647,1881277,1
298647,1881984,1
298354,1882060,1
298723,1881319,1
298723,1881253,1
298385,1881984,1
298385,1881988,1
298385,1881999,1
298385,1882008,1
298385,1882015,1
298385,1882060,1
298763,1882060,1
298763,1881320,1
298763,1882015,1
298763,1881277,1
298770,1881319,1
298388,1882788,0
298770,1882788,1
298770,1881253,1
298388,1882015,0
298389,1882788,1
298770,1882060,1
298770,1881988,1
298770,1882008,1
298770,1881984,1
298131,1881319,1
298770,1882015,1
298131,1881277,1
298131,1881253,1
298770,1881277,1
298131,1881320,0
298770,1881999,1
298131,1881338,1
298131,1881984,1
298784,1882788,0
298131,1881988,1
298131,1881999,1
298131,1882008,1
298131,1882015,1
298131,1882060,1
298784,1881320,0
298131,1882788,1
298784,1882060,1
298784,1881988,1
298784,1881253,1
298784,1882008,1
298784,1882015,1
298784,1881999,1
298784,1881984,1
298784,1882824,1
298784,1881338,1
298784,1881319,1
298784,1881277,1
298389,1882841,1
298389,1882842,1
298813,1882841,1
298763,1882824,1
298763,1881253,1
298143,1882824,0
